order_id,user_id,order_date,status,total_amount
1,390,2025-04-06T00:10:00,completed,372.73
2,754,2025-06-17T22:18:58,completed,38.3
3,4351,2024-04-11T14:04:01,completed,412.75
4,4135,2024-09-24T21:09:16,completed,210.09
5,2059,2024-06-14T22:38:53,completed,441.04
6,4229,2025-10-13T04:23:42,completed,412.83
7,3829,2024-03-31T16:24:27,completed,1115.05
8,491,2024-09-09T01:21:41,completed,374.48
9,2460,2025-06-24T22:35:32,completed,73.78
10,1668,2023-12-14T10:11:05,completed,131.94
11,4926,2024-10-28T12:02:30,completed,126.57
12,2544,2025-08-14T18:34:25,completed,453.3
13,1655,2024-07-18T01:38:26,completed,142.5
14,4512,2024-03-18T23:56:26,completed,521.78
15,3335,2023-12-31T05:10:09,completed,715.55
16,4678,2024-11-19T09:38:37,completed,853.5
17,2568,2024-10-11T21:46:00,completed,746.52
18,3465,2025-06-02T04:01:57,completed,667.62
19,2084,2025-10-11T12:38:34,completed,474.61
20,2593,2025-01-21T18:09:09,completed,1320.96
21,1188,2025-09-19T16:25:21,completed,746.0
22,448,2024-05-22T11:12:25,completed,749.25
23,1000,2024-10-05T14:01:01,completed,455.35
24,3220,2024-03-04T06:30:32,cancelled,1477.69
25,3329,2025-09-10T17:08:47,completed,941.1
26,3860,2025-03-28T18:41:36,completed,702.54
27,4933,2024-08-28T07:11:33,completed,18.54
28,427,2024-05-07T19:10:15,completed,72.37
29,3283,2024-10-08T08:24:23,completed,83.12
30,4231,2024-10-20T06:31:09,completed,894.26
31,3699,2025-10-14T11:47:33,completed,401.89
32,3396,2024-10-17T14:51:31,completed,885.5
33,1839,2024-11-19T21:45:02,completed,315.18
34,729,2025-06-19T20:22:27,returned,59.28
35,3514,2024-11-13T11:35:30,completed,473.89
36,962,2024-11-06T22:39:06,completed,459.18
37,4049,2024-09-24T20:59:17,completed,1064.89
38,1067,2024-11-22T04:28:28,completed,435.21
39,1552,2024-09-05T13:08:35,completed,488.18
40,1930,2024-08-16T12:57:42,completed,1001.69
41,1739,2024-08-07T09:10:25,completed,210.93
42,1924,2025-04-27T23:20:53,completed,967.54
43,4901,2024-10-02T23:36:28,completed,1323.54
44,1084,2024-03-10T13:19:33,cancelled,89.08
45,4038,2025-06-11T23:19:17,cancelled,1175.75
46,2302,2025-01-12T18:37:33,completed,492.81
47,4025,2024-05-06T02:25:26,completed,640.28
48,3605,2024-06-06T05:47:37,completed,237.77
49,1340,2024-05-14T16:18:11,completed,50.38
50,2921,2025-06-03T15:31:35,returned,423.69
51,1213,2024-04-24T11:44:08,completed,418.3
52,4168,2025-02-11T15:22:57,completed,293.86
53,34,2024-04-27T07:31:53,completed,253.7
54,4081,2025-10-06T17:05:14,completed,953.13
55,237,2025-06-16T15:09:09,completed,323.91
56,360,2025-04-23T06:36:56,completed,2696.04
57,580,2025-07-29T05:03:09,completed,295.58
58,169,2025-03-22T20:34:41,completed,325.35
59,1263,2024-09-05T10:26:00,completed,461.24
60,4944,2025-10-27T11:42:35,completed,585.62
61,4613,2024-11-22T01:50:31,completed,617.72
62,3557,2025-01-26T23:10:48,completed,234.44
63,1837,2025-09-28T00:54:39,completed,553.4
64,649,2025-07-13T13:26:39,cancelled,1031.22
65,2461,2025-08-04T09:17:54,completed,277.74
66,370,2024-10-10T05:26:20,completed,332.12
67,4657,2024-09-14T06:58:37,completed,254.21
68,934,2025-04-11T08:55:10,completed,199.51
69,683,2024-07-23T12:54:01,completed,635.1
70,2797,2024-05-12T00:04:19,cancelled,389.95
71,956,2024-09-28T06:45:44,completed,799.38
72,2481,2024-03-16T22:29:54,completed,1221.44
73,220,2024-11-27T09:39:24,completed,521.33
74,2466,2024-02-20T13:16:29,completed,87.22
75,1249,2025-01-22T18:56:56,completed,430.6
76,4795,2025-04-17T18:28:32,completed,60.42
77,65,2024-11-13T11:44:27,completed,1642.09
78,2383,2024-07-18T10:15:51,completed,307.69
79,3997,2025-10-30T20:16:21,completed,161.35
80,521,2025-09-05T02:02:39,completed,476.84
81,3574,2025-07-21T19:03:45,completed,221.86
82,4159,2025-10-03T23:55:54,completed,1123.07
83,3415,2025-03-26T12:33:44,completed,864.42
84,2314,2024-10-13T06:19:19,completed,103.74
85,4963,2024-01-06T16:28:01,completed,965.56
86,2940,2024-05-01T01:09:20,completed,430.43
87,4125,2024-05-14T20:22:57,completed,117.21
88,4604,2024-08-16T10:45:31,completed,385.84
89,4564,2025-01-29T16:11:34,completed,608.24
90,854,2025-10-19T09:17:11,completed,968.83
91,835,2024-03-28T21:20:56,completed,63.44
92,1683,2025-04-23T12:40:59,cancelled,382.17
93,4083,2024-09-21T15:34:57,completed,410.48
94,1008,2025-11-25T01:06:30,completed,8.26
95,3881,2025-01-03T02:48:13,completed,359.02
96,3400,2024-10-28T12:55:20,completed,669.06
97,3387,2024-04-16T05:12:29,cancelled,1648.91
98,571,2024-11-06T05:38:26,completed,35.43
